127.0.0.1, 2014-11-01 17:04:37, GET, /admin/default/index, HTTP/1.1, 200, 0.038044
127.0.0.1, 2014-11-01 17:04:37, GET, /admin/default/design/welcome, HTTP/1.1, 303, 0.005450
127.0.0.1, 2014-11-01 17:04:37, GET, /admin/default/index, HTTP/1.1, 200, 0.038619
127.0.0.1, 2014-11-01 17:04:37, GET, /examples/soap_examples/call/soap, HTTP/1.1, 200, 0.052015
127.0.0.1, 2014-11-01 17:04:37, POST, /examples/soap_examples/call/soap, HTTP/1.1, 200, 0.004919
127.0.0.1, 2014-11-01 17:04:37, POST, /examples/soap_examples/call/soap, HTTP/1.1, 500, 0.006699
127.0.0.1, 2014-11-01 17:04:37, POST, /examples/soap_examples/call/soap, HTTP/1.1, 500, 0.005293
127.0.0.1, 2014-11-01 17:04:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000385
127.0.0.1, 2014-11-01 17:04:37, GET, /welcome/static/_1.2.3/js/web2py.js, HTTP/1.1, 200, 0.000454
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/, HTTP/1.1, 200, 0.103147
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000556
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/jquery.js, HTTP/1.1, 200, 0.001175
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002446
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/css/calendar.css, HTTP/1.1, 200, 0.003162
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/web2py.js, HTTP/1.1, 200, 0.002492
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/css/web2py.css, HTTP/1.1, 200, 0.001417
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/js/calendar.js, HTTP/1.1, 200, 0.002584
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001725
127.0.0.1, 2014-11-01 17:36:55, GET, /circi/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001430
